"TOA5","Site5_Middletown_Plaza","CR200X","25254","CR200X.Std.04","CR200X_12_25_rev2.CR2","19761","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2019-10-05 00:00:00",751,12.02244
"2019-10-06 00:00:00",752,12.30953
"2019-10-07 00:00:00",753,11.94102
"2019-10-08 00:00:00",754,11.94438
"2019-10-09 00:00:00",755,12.17354
"2019-10-10 00:00:00",756,12.10891
"2019-10-11 00:00:00",757,12.26588
"2019-10-12 00:00:00",758,12.20208
"2019-10-13 00:00:00",759,12.3876
"2019-10-14 00:00:00",760,12.45811
"2019-10-15 00:00:00",761,12.07365
"2019-10-16 00:00:00",762,12.27008
"2019-10-17 00:00:00",763,12.42705
"2019-10-18 00:00:00",764,12.09548
"2019-10-19 00:00:00",765,12.1769
"2019-10-20 00:00:00",766,12.22978
"2019-10-21 00:00:00",767,12.26588
"2019-10-22 00:00:00",768,11.98047
"2019-10-23 00:00:00",769,11.95361
"2019-10-24 00:00:00",770,11.83441
"2019-10-25 00:00:00",771,11.99306
"2019-10-26 00:00:00",772,12.00314
"2019-10-27 00:00:00",773,12.0216
"2019-10-28 00:00:00",774,11.87722
"2019-10-29 00:00:00",775,11.89065
"2019-10-30 00:00:00",776,11.93514
"2019-10-31 00:00:00",777,11.9427
"2019-11-01 00:00:00",778,11.86883
"2019-11-02 00:00:00",779,11.9066
"2019-11-03 00:00:00",780,12.02412
"2019-11-04 00:00:00",781,12.05434
"2019-11-05 00:00:00",782,12.05434
"2019-11-06 00:00:00",783,11.94689
"2019-11-07 00:00:00",784,12.01992
"2019-11-08 00:00:00",785,11.9385
"2019-11-09 00:00:00",786,11.93094
"2019-11-10 00:00:00",787,12.10891
"2019-11-11 00:00:00",788,11.96956
"2019-11-12 00:00:00",789,11.99474
"2019-11-13 00:00:00",790,11.89569
"2019-11-14 00:00:00",791,11.83441
"2019-11-15 00:00:00",792,12.05434
"2019-11-16 00:00:00",793,11.96704
"2019-11-17 00:00:00",794,11.97376
"2019-11-18 00:00:00",795,11.93682
"2019-11-19 00:00:00",796,11.90324
"2019-11-20 00:00:00",797,11.80335
"2019-11-21 00:00:00",798,11.88645
"2019-11-22 00:00:00",799,11.96872
"2019-11-23 00:00:00",800,11.915
"2019-11-24 00:00:00",801,11.75298
"2019-11-25 00:00:00",802,11.91164
"2019-11-26 00:00:00",803,11.72444
"2019-11-27 00:00:00",804,11.92087
"2019-11-28 00:00:00",805,11.85623
"2019-11-29 00:00:00",806,11.7916
"2019-11-30 00:00:00",807,11.90744
"2019-12-01 00:00:00",808,11.94605
"2019-12-02 00:00:00",809,11.93094
"2019-12-03 00:00:00",810,11.7001
"2019-12-04 00:00:00",811,11.65813
"2019-12-05 00:00:00",812,11.94438
"2019-12-06 00:00:00",813,11.79076
"2019-12-07 00:00:00",814,11.90492
"2019-12-08 00:00:00",815,11.86547
"2019-12-09 00:00:00",816,11.95613
"2019-12-10 00:00:00",817,11.94018
"2019-12-11 00:00:00",818,11.70765
"2021-01-15 00:00:00",1219,11.87051
"2021-01-16 00:00:00",1220,11.89569
"2021-01-17 00:00:00",1221,11.70681
"2021-01-18 00:00:00",1222,11.85036
"2021-01-19 00:00:00",1223,11.8789
"2021-01-20 00:00:00",1224,11.88226
"2021-01-21 00:00:00",1225,11.88645
"2021-01-22 00:00:00",1226,11.89149
"2021-01-23 00:00:00",1227,11.91667
"2021-01-24 00:00:00",1228,11.88897
"2021-01-25 00:00:00",1229,11.92255
"2021-01-26 00:00:00",1230,11.95361
"2021-01-27 00:00:00",1231,11.90828
"2021-01-28 00:00:00",1232,11.75298
"2021-01-29 00:00:00",1233,11.85456
"2021-01-30 00:00:00",1234,11.95361
"2021-01-31 00:00:00",1235,11.94102
"2021-02-01 00:00:00",1236,11.95613
"2021-02-02 00:00:00",1237,11.9385
"2021-02-03 00:00:00",1238,11.70178
"2021-02-04 00:00:00",1239,11.92087
"2021-02-05 00:00:00",1240,11.92843
"2021-02-06 00:00:00",1241,11.92003
"2021-02-07 00:00:00",1242,11.90828
"2021-02-08 00:00:00",1243,11.91835
"2021-02-09 00:00:00",1244,11.68499
"2021-02-10 00:00:00",1245,11.95193
"2021-02-11 00:00:00",1246,11.82685
"2021-02-12 00:00:00",1247,11.95277
"2021-02-13 00:00:00",1248,11.95277
"2021-02-14 00:00:00",1249,11.93514
"2021-02-15 00:00:00",1250,11.88813
"2021-02-16 00:00:00",1251,11.95109
"2021-02-17 00:00:00",1252,11.84532
