AST_date_time_1,AST_date_time_2,AST_AirTF,AST_RH,AST_Rainfall_Tot,AST_VWC1,AST_VWC2,AST_VWC3,AST_VWC4
NaT,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaT,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Jan-2018,18:45:00,34.23632,46.95669,0,0,0,0,0
24-Jan-2018,19:00:00,33.65114,46.44386,0,0,0,0,0
24-Jan-2018,19:15:00,33.50829,47.14594,0,0,0,0,0
24-Jan-2018,19:30:00,33.11543,47.73202,0,0,0,0,0
24-Jan-2018,19:45:00,32.40665,47.44966,0,0,0,0,0
24-Jan-2018,20:00:00,32.07147,46.87732,0,0,0,0,0
24-Jan-2018,20:15:00,31.54401,47.15968,0,0,0,0,0
24-Jan-2018,20:30:00,31.42313,46.31566,0,0,0,0,0
24-Jan-2018,20:45:00,31.01653,45.72347,0,0,0,0,0
24-Jan-2018,21:00:00,30.84071,46.16914,0,0,0,0,0
24-Jan-2018,21:15:00,30.55499,45.40601,0,0,0,0,0
24-Jan-2018,21:30:00,30.3462,46.7369,0,0,0,0,0
24-Jan-2018,21:45:00,30.08247,47.13373,0,0,0,0,0
24-Jan-2018,22:00:00,29.60994,46.6087,0,0,0,0,0
24-Jan-2018,22:15:00,29.67586,47.86633,0,0,0,0,0
24-Jan-2018,22:30:00,29.25829,46.98721,0,0,0,0,0
24-Jan-2018,22:45:00,29.23631,46.83916,0,0,0,0,0
24-Jan-2018,23:00:00,29.06873,48.11511,0,0,0,0,0
24-Jan-2018,23:15:00,28.53301,48.8065,0,0,0,0,0
24-Jan-2018,23:30:00,28.2418,47.36572,0,0,0,0,0
24-Jan-2018,23:45:00,27.71982,46.65754,0,0,0,0,0
25-Jan-2018,00:00:00,27.37917,47.3413,0,0,0,0,0
25-Jan-2018,00:15:00,27.08246,47.74576,0,0,0,0,0
25-Jan-2018,00:30:00,26.58796,49.50247,0,0,0,0,0
25-Jan-2018,00:45:00,26.47807,49.43837,0,0,0,0,0
25-Jan-2018,01:00:00,26.08245,49.84436,0,0,0,0,0
25-Jan-2018,01:15:00,25.88465,51.49271,0,0,0,0,0
25-Jan-2018,01:30:00,25.28026,51.41334,0,0,0,0,0
25-Jan-2018,01:45:00,25.22532,51.20424,0,0,0,0,0
25-Jan-2018,02:00:00,24.67587,51.83459,0,0,0,0,0
25-Jan-2018,02:15:00,24.70883,51.86969,0,0,0,0,0
25-Jan-2018,02:30:00,24.41213,50.70516,0,0,0,0,0
25-Jan-2018,02:45:00,24.15938,50.00308,0,0,0,0,0
25-Jan-2018,03:00:00,24.16762,49.97256,0,0,0,0,0
25-Jan-2018,03:15:00,24.05773,49.45211,0,0,0,0,0
25-Jan-2018,03:30:00,24.01652,49.14838,0,0,0,0,0
25-Jan-2018,03:45:00,24.3462,49.15449,0,0,0,0,0
25-Jan-2018,04:00:00,24.03576,49.33153,0,0,0,0,0
25-Jan-2018,04:15:00,24.15938,49.06292,0,0,0,0,0
25-Jan-2018,04:30:00,24.08246,50.16792,0,0,0,0,0
25-Jan-2018,04:45:00,24.43136,50.81505,0,0,0,0,0
25-Jan-2018,05:00:00,24.27751,51.1142,0,0,0,0,0
25-Jan-2018,05:15:00,24.41213,52.52903,0,0,0,0,0
25-Jan-2018,05:30:00,24.15938,52.80529,0,0,0,0,0
25-Jan-2018,05:45:00,24.60993,51.67585,0,0,0,0,0
25-Jan-2018,06:00:00,24.56598,51.68807,0,0,0,0,0
25-Jan-2018,06:15:00,24.533,51.44997,0,0,0,0,0
25-Jan-2018,06:30:00,24.81873,51.68807,0,0,0,0,0
25-Jan-2018,06:45:00,24.533,52.23141,0,0,0,0,0
25-Jan-2018,07:00:00,24.75828,52.54277,0,0,0,0,0
25-Jan-2018,07:15:00,25.1374,52.59161,0,0,0,0,0
25-Jan-2018,07:30:00,25.35444,51.51102,0,0,0,0,0
25-Jan-2018,07:45:00,25.46708,51.10809,0,0,0,0,0
25-Jan-2018,08:00:00,-7.978001,43.83092,0,0,0,0,0
25-Jan-2018,08:15:00,21.90664,45.69905,0,0,0,0,0
25-Jan-2018,08:30:00,24.10443,47.23141,0,0,0,0,0
25-Jan-2018,08:45:00,24.83246,45.25949,0,0,0,0,0
25-Jan-2018,09:00:00,24.98355,43.32573,0,0,0,0,0
25-Jan-2018,09:15:00,24.4451,41.2424,0,0,0,0,0
25-Jan-2018,09:30:00,25.62092,42.45118,0,0,0,0,0
25-Jan-2018,09:45:00,25.48906,39.84435,0,0,0,0,0
25-Jan-2018,10:00:00,26.36818,37.32298,0,0,0,0,0
25-Jan-2018,10:15:00,26.92037,35.00307,0,0,0,0,0
25-Jan-2018,10:30:00,27.25829,33.69661,0,0,0,0,0
25-Jan-2018,10:45:00,26.6429,35.60442,0,0,0,0,0
25-Jan-2018,11:00:00,27.71982,34.7894,0,0,0,0,0
